feature_1,feature_2,feature_3,feature_4,feature_5,class
-3.428644813,0.631541438,0.083303428,-2.350106978,0.760103419,1
-2.908618213,1.503897758,-0.493775666,-4.012363025,0.253280451,1
-1.124910716,0.633868583,-1.082719908,0.583345765,-1.650471689,1
-1.857146015,1.112347581,0.210895417,-4.481014106,1.333270488,1
-1.029858145,0.096830743,-0.043607869,-0.192393052,0.0196541,1
-2.974491373,1.323727953,-0.299604832,-3.866155203,0.507003461,1
-3.673678589,1.29012554,-0.436150178,-3.360108591,0.229906824,1
6.214848341,0.076515229,-1.002788164,2.077542596,-2.151995581,1
-0.7008859,-0.026104712,-0.301781035,0.909603917,-0.602682348,1
4.708012615,-1.285407705,0.603454989,2.864037121,0.076029814,1
-3.95455732,0.749588684,-0.226588321,-1.946216629,0.245787307,1
4.190097526,-1.275819876,0.213535729,3.867001602,-0.681985228,1
-2.703024224,1.060586692,-0.104998426,-3.436120814,0.687316862,1
0.248076867,-0.405980544,-0.223027683,2.033936598,-0.765730279,1
-4.063055265,0.832343702,-0.439919333,-1.684130789,-0.115267474,1
-4.182290444,0.413313968,-0.100756951,-1.052577308,0.2482634,1
-1.215768965,0.0297996,-0.106504996,0.220828824,-0.151782827,1
-2.443591214,0.864255011,0.315817185,-3.835745887,1.372767266,1
2.817347866,-2.314796368,2.210754101,2.465301427,2.572813868,1
-3.332973993,0.836063745,-0.326304517,-2.024022925,0.091997209,1
3.969506686,-1.379643994,0.613301942,3.208843199,0.047406928,1
-2.545239947,2.002063083,-0.803818704,-5.015189272,0.000834928,1
0.380632969,-0.7318685,0.29931013,1.842036416,0.028306602,1
-0.454663873,0.209601754,-0.710754918,1.115360867,-1.250499041,1
-3.783689534,1.732577896,-1.185085221,-2.998881028,-0.930137995,1
-0.556283058,-0.575877479,0.494734874,0.809761434,0.569595337,1
-3.114913519,1.388710109,-0.468018127,-3.655710961,0.223461476,1
-3.559722052,0.640681055,-0.000318176,-2.15970712,0.603599915,1
2.461734116,-2.55291907,1.922543764,4.089279271,1.824114498,1
-3.257745382,0.627334961,0.057568012,-2.275027035,0.69979002,1
3.044483595,-2.407699724,1.593293089,4.399406212,1.256174918,1
4.033084479,-2.011034322,1.290059603,3.718563973,0.919692794,1
4.475717032,-1.842607022,0.798184623,4.374599454,0.047862111,1
-4.402443621,1.687561171,-1.16254429,-2.869539863,-0.899503664,1
-1.074932674,-1.176511012,1.746468375,-0.265126468,2.637184067,1
5.61515508,-0.692105937,-0.12215219,2.57835357,-0.954506232,1
-2.625322192,1.094425316,-0.198578494,-3.31750681,0.523031327,1
